year;area km²;consunit
2021;106,67;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2020;69,63;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2019;65,58;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2008;16,48;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2016;31,33;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2018;38,99;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2017;32,20;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2015;34,33;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2009;15,17;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2010;8,14;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2014;28,48;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2013;32,55;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2011;13,50;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2012;22,31;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS
2021;88,03;RESERVA EXTRATIVISTA CHICO MENDES
2020;59,25;RESERVA EXTRATIVISTA CHICO MENDES
2019;75,97;RESERVA EXTRATIVISTA CHICO MENDES
2008;11,49;RESERVA EXTRATIVISTA CHICO MENDES
2016;29,48;RESERVA EXTRATIVISTA CHICO MENDES
2018;21,12;RESERVA EXTRATIVISTA CHICO MENDES
2017;20,01;RESERVA EXTRATIVISTA CHICO MENDES
2015;15,22;RESERVA EXTRATIVISTA CHICO MENDES
2009;3,68;RESERVA EXTRATIVISTA CHICO MENDES
2010;6,41;RESERVA EXTRATIVISTA CHICO MENDES
2014;22,02;RESERVA EXTRATIVISTA CHICO MENDES
2013;10,66;RESERVA EXTRATIVISTA CHICO MENDES
2011;12,02;RESERVA EXTRATIVISTA CHICO MENDES
2012;12,42;RESERVA EXTRATIVISTA CHICO MENDES
2021;22,46;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2020;23,48;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2019;16,43;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2008;46,61;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2016;19,93;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2018;16,88;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2017;14,01;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2015;27,86;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2009;19,93;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2010;26,79;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2014;7,02;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2013;11,90;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2011;16,42;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2012;8,83;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI
2021;35,57;FLORESTA NACIONAL ALTAMIRA
2020;58,53;FLORESTA NACIONAL ALTAMIRA
2019;20,93;FLORESTA NACIONAL ALTAMIRA
2008;8,87;FLORESTA NACIONAL ALTAMIRA
2016;6,85;FLORESTA NACIONAL ALTAMIRA
2018;9,55;FLORESTA NACIONAL ALTAMIRA
2017;1,14;FLORESTA NACIONAL ALTAMIRA
2015;0,37;FLORESTA NACIONAL ALTAMIRA
2009;15,01;FLORESTA NACIONAL ALTAMIRA
2010;2,64;FLORESTA NACIONAL ALTAMIRA
2014;26,31;FLORESTA NACIONAL ALTAMIRA
2013;24,71;FLORESTA NACIONAL ALTAMIRA
2011;13,10;FLORESTA NACIONAL ALTAMIRA
2012;51,02;FLORESTA NACIONAL ALTAMIRA
2021;8,73;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2020;25,24;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2019;3,75;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2008;45,91;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2016;2,99;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2018;0,97;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2017;9,45;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2015;0,91;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2009;11,98;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2010;8,21;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2014;5,46;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2013;11,68;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2011;16,85;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2012;2,15;ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE
2021;3,85;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2020;7,13;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2019;0,92;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2008;61,96;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2016;2,97;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2018;3,03;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2017;3,96;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2015;4,77;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2009;0,20;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2010;15,82;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2014;5,83;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2013;9,36;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2011;9,09;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2012;5,41;ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS
2021;29,52;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2020;15,37;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2019;33,02;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2008;3,38;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2016;8,53;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2018;12,67;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2017;11,44;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2015;3,13;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2009;2,40;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2010;4,98;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2014;1,29;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2013;0,56;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2011;0,62;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2012;3,90;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
2021;4,95;RESERVA BIOLÓGICA DO GURUPI
2020;3,39;RESERVA BIOLÓGICA DO GURUPI
2019;3,16;RESERVA BIOLÓGICA DO GURUPI
2008;36,48;RESERVA BIOLÓGICA DO GURUPI
2016;4,60;RESERVA BIOLÓGICA DO GURUPI
2018;3,68;RESERVA BIOLÓGICA DO GURUPI
2017;6,48;RESERVA BIOLÓGICA DO GURUPI
2015;5,79;RESERVA BIOLÓGICA DO GURUPI
2009;27,63;RESERVA BIOLÓGICA DO GURUPI
2010;11,62;RESERVA BIOLÓGICA DO GURUPI
2014;0,50;RESERVA BIOLÓGICA DO GURUPI
2013;6,67;RESERVA BIOLÓGICA DO GURUPI
2011;6,71;RESERVA BIOLÓGICA DO GURUPI
2012;8,34;RESERVA BIOLÓGICA DO GURUPI
2021;10,69;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2020;26,00;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2019;14,46;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2008;14,45;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2016;10,16;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2018;3,96;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2017;4,41;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2015;19,82;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2009;3,49;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2010;5,71;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2014;4,27;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2013;0,30;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2011;3,00;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2012;0,32;RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO
2021;28,89;PARQUE ESTADUAL DE GUAJARÁ-MIRIM
2020;7,53;PARQUE ESTADUAL DE GUAJARÁ-MIRIM
2019;13,56;PARQUE ESTADUAL DE GUAJARÁ-MIRIM
2016;13,62;PARQUE ESTADUAL DE GUAJARÁ-MIRIM
2018;15,40;PARQUE ESTADUAL DE GUAJARÁ-MIRIM
2017;22,80;PARQUE ESTADUAL DE GUAJARÁ-MIRIM
2015;12,17;PARQUE ESTADUAL DE GUAJARÁ-MIRIM
2014;3,01;PARQUE ESTADUAL DE GUAJARÁ-MIRIM
2013;0,30;PARQUE ESTADUAL DE GUAJARÁ-MIRIM
2012;0,19;PARQUE ESTADUAL DE GUAJARÁ-MIRIM
